ID,Parent SKU,SKU,Description,Regular price,Brand,Cat,Color,Prime style,Pocket shape,Collection name,Consignment,Placket Shape,Placket Type,Sleeves type,Collar type,Size,Generation
,#p30211#,328101221,شماغ - الشياكة - رجالي - 62,30,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,352310223,شماغ - الشياكة - رجالي - 58,285,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,359601221,شماغ - الشياكة - رجالي - 55,30,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,364510219,شماغ - الشياكة - رجالي - 60,30,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,364510222,شماغ - الشياكة برايم - رجالي - كريم - 55,145,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,215302702582110,شماغ - الشياكة برايم - رجالي - كريم - 58,145,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Alshiaka Prime Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,215302702592110,شماغ - الشياكة برايم - رجالي - كريم - 60,145,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Alshiaka Prime Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,215302702602110,شماغ - الشياكة برايم - رجالي - كريم - 62,145,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Alshiaka Prime Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,215302702612110,شماغ - الشياكة برايم - رجالي - احمر فاتح - 55,145,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Alshiaka Prime Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,215302837582111,شماغ - الشياكة برايم - رجالي - احمر فاتح - 58,145,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Alshiaka Prime Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,215302837592111,شماغ - الشياكة برايم - رجالي - احمر فاتح - 60,145,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Alshiaka Prime Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,215302837602111,شماغ - الشياكة برايم - رجالي - احمر فاتح - 62,145,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Alshiaka Prime Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
