ID,Parent SKU,SKU,Name,Description,Tax class,Stock,Sale price,Regular price,Categories EN,Images,Item type,Color,Prime style,Pocket shape,Collection name,Consignment,Placket shape,Placket Type,Sleeves type,Collar type,Size,Generation
,SAQ80538893218S,8053917,Thobe - Rethobe - White - Youth - 2218 - 47S,Thobe - Rethobe - White - Youth - 2218 - 47S,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,47S,Youth
,SAQ80538893218S,8053918,Thobe - Rethobe - White - Youth - 2218 - 48L,Thobe - Rethobe - White - Youth - 2218 - 48L,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,48L,Youth
,SAQ80538893218S,8053919,Thobe - Rethobe - White - Youth - 2218 - 48M,Thobe - Rethobe - White - Youth - 2218 - 48M,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,48M,Youth
,SAQ80538893218S,8053920,Thobe - Rethobe - White - Youth - 2218 - 48S,Thobe - Rethobe - White - Youth - 2218 - 48S,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,48S,Youth
,SAQ80538893218S,8053921,Thobe - Rethobe - White - Youth - 2218 - 48XL,Thobe - Rethobe - White - Youth - 2218 - 48XL,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,48XL,Youth
,SAQ80538893218S,8053922,Thobe - Rethobe - White - Youth - 2218 - 49S,Thobe - Rethobe - White - Youth - 2218 - 49S,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,49S,Youth
,SAQ80538893218S,8053923,Thobe - Rethobe - White - Youth - 2218 - 49XL,Thobe - Rethobe - White - Youth - 2218 - 49XL,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,49XL,Youth
,SAQ80538893218S,8053924,Thobe - Rethobe - White - Youth - 2218 - 50L,Thobe - Rethobe - White - Youth - 2218 - 50L,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50L,Youth
,SAQ80538893218S,8053925,Thobe - Rethobe - White - Youth - 2218 - 50M,Thobe - Rethobe - White - Youth - 2218 - 50M,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50M,Youth
,SAQ80538893218S,8053926,Thobe - Rethobe - White - Youth - 2218 - 50S,Thobe - Rethobe - White - Youth - 2218 - 50S,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50S,Youth
,SAQ80538893218S,8053927,Thobe - Rethobe - White - Youth - 2218 - 50XL,Thobe - Rethobe - White - Youth - 2218 - 50XL,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50XL,Youth
,SAQ80538893218S,8053928,Thobe - Rethobe - White - Youth - 2218 - 51S,Thobe - Rethobe - White - Youth - 2218 - 51S,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,51S,Youth
,SAQ80538893218S,8053929,Thobe - Rethobe - White - Youth - 2218 - 51XL,Thobe - Rethobe - White - Youth - 2218 - 51XL,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,51XL,Youth
,SAQ80538893218S,8053930,Thobe - Rethobe - White - Youth - 2218 - 52L,Thobe - Rethobe - White - Youth - 2218 - 52L,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,52L,Youth
,SAQ80538893218S,8053931,Thobe - Rethobe - White - Youth - 2218 - 52M,Thobe - Rethobe - White - Youth - 2218 - 52M,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,52M,Youth
,SAQ80538893218S,8053932,Thobe - Rethobe - White - Youth - 2218 - 52S,Thobe - Rethobe - White - Youth - 2218 - 52S,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Seasonal,Non Consignment,Others,Others,Others,Others,52S,Youth
